id,subject,predicate,object,schema,confidence,source_file
rel_318cf4f7,,implements,,general,0.7,20250816_111802_general_kg.json
rel_109752a7,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_584e71df,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_5939141a,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_90ababd3,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_be277790,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_01051d4d,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_11f24238,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_70cfa0f1,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_13de0751,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_b46961e4,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_2bd2cf88,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_24d7233f,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_12657a5e,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_d742b627,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_91d181c0,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_7dd23531,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_6ff7b2ed,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_0ba8fe20,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_b3b70bf4,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_a18c1544,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_a6b9baa4,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_a898f020,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_4756d553,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_6c112a98,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_e110ab01,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_f9bb46bc,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_656a6b78,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_b13ccdd5,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_50637823,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_0f851002,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_f8037bcf,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_ab267c12,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_a81a8ea5,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_5080bd88,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_30a84a8e,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_122ee53b,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_b2c501eb,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_cb6d47b0,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_9e909844,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_641cac5c,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_03ab5735,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_81db310d,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_70c5b70b,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_72dbc2a7,,used_in,,general,0.6,20250816_111802_general_kg.json
rel_dfdfb9a9,,used_in,,general,0.6,20250816_111802_general_kg.json
